metric                                  , definition                                                                                                         , method_note                                                                                                                                                                                                                                                                                                                        , unit        , builder_version    , input_fingerprint_sha256
rss_t0_mib                              , Process RSS at migration completion.                                                                               , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t0_mib                   , Anonymous huge-page memory at migration completion.                                                                , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
hugepages_t0_available                  , Whether a huge-page sample was parsed at migration completion.                                                     , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
rss_t10_mib                             , Process RSS 10 s after migration completion.                                                                       , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t10_mib                  , Anonymous huge-page memory 10 s after migration completion.                                                        , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
hugepages_t10_available                 , Whether a huge-page sample was parsed 10 s after migration completion.                                             , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
rss_t40_mib                             , Process RSS 40 s after migration completion.                                                                       , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t40_mib                  , Anonymous huge-page memory 40 s after migration completion.                                                        , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t40_pct_rss              , AnonHugePages divided by RSS 40 s after migration completion.                                                      , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
hugepages_t40_available                 , Whether a huge-page sample was parsed 40 s after migration completion.                                             , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
rss_t100_mib                            , Process RSS 100 s after migration completion.                                                                      , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t100_mib                 , Anonymous huge-page memory 100 s after migration completion.                                                       , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t100_pct_rss             , AnonHugePages divided by RSS 100 s after migration completion.                                                     , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
hugepages_t100_available                , Whether a huge-page sample was parsed 100 s after migration completion.                                            , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
